Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-23T15:34:00Z; 96235,97; 96248,36; 96235,97; 96248,36; 96248,36;0; 3,537935e-04
2020-09-23T15:35:00Z; 96239,58; 96248,11; 96239,58; 96248,11; 96248,11;0;-2,597447e-06
2020-09-23T15:36:00Z; 96249,94; 96325,75; 96249,94; 96325,75; 96325,75;0; 8,066652e-04
2020-09-23T15:37:00Z; 96354,76; 96365,72; 96354,76; 96365,72; 96365,72;0; 4,149462e-04
2020-09-23T15:38:00Z; 96386,13; 96386,13; 96352,24; 96352,24; 96352,24;0;-1,398838e-04
2020-09-23T15:39:00Z; 96384,02; 96391,10; 96384,02; 96391,10; 96391,10;0; 4,033118e-04
2020-09-23T15:40:00Z; 96379,33; 96393,11; 96379,33; 96393,11; 96393,11;0; 2,085255e-05
2020-09-23T15:41:00Z; 96402,73; 96422,13; 96402,73; 96422,13; 96422,13;0; 3,010589e-04
2020-09-23T15:42:00Z; 96405,70; 96438,90; 96405,70; 96438,90; 96438,90;0; 1,739227e-04
2020-09-23T15:43:00Z; 96460,33; 96460,33; 96436,91; 96436,91; 96436,91;0;-2,063483e-05
2020-09-23T15:44:00Z; 96403,17; 96420,26; 96403,17; 96420,26; 96420,26;0;-1,726517e-04
2020-09-23T15:45:00Z; 96409,80; 96409,80; 96390,53; 96390,53; 96390,53;0;-3,083377e-04
2020-09-23T15:46:00Z; 96405,34; 96447,68; 96405,34; 96447,68; 96447,68;0; 5,929006e-04
2020-09-23T15:47:00Z; 96443,89; 96443,89; 96416,00; 96416,00; 96416,00;0;-3,284682e-04
2020-09-23T15:48:00Z; 96367,46; 96367,46; 96344,60; 96344,60; 96344,60;0;-7,405410e-04
2020-09-23T15:49:00Z; 96338,33; 96415,83; 96338,33; 96415,83; 96415,83;0; 7,393253e-04
2020-09-23T15:50:00Z; 96376,33; 96376,33; 96352,55; 96352,55; 96352,55;0;-6,563238e-04
2020-09-23T15:51:00Z; 96334,21; 96354,04; 96334,21; 96354,04; 96354,04;0; 1,546404e-05
2020-09-23T15:52:00Z; 96382,20; 96409,24; 96382,20; 96409,24; 96409,24;0; 5,728872e-04
2020-09-23T15:53:00Z; 96404,87; 96404,87; 96383,81; 96383,81; 96383,81;0;-2,637714e-04
2020-09-23T15:54:00Z; 96394,58; 96412,84; 96394,58; 96412,84; 96412,84;0; 3,011917e-04
2020-09-23T15:55:00Z; 96417,11; 96434,58; 96417,11; 96434,58; 96434,58;0; 2,254886e-04
2020-09-23T15:56:00Z; 96492,77; 96536,11; 96492,77; 96536,11; 96536,11;0; 1,052838e-03
2020-09-23T15:57:00Z; 96539,36; 96539,36; 96519,74; 96519,74; 96519,74;0;-1,695739e-04
2020-09-23T15:58:00Z; 96482,17; 96482,17; 96438,27; 96438,27; 96438,27;0;-8,440760e-04
2020-09-23T15:59:00Z; 96417,00; 96417,00; 96411,04; 96411,04; 96411,04;0;-2,823568e-04
2020-09-23T16:00:00Z; 96395,23; 96395,23; 96357,30; 96357,30; 96357,30;0;-5,574050e-04
2020-09-23T16:01:00Z; 96410,76; 96410,76; 96410,62; 96410,62; 96410,62;0; 5,533571e-04
2020-09-23T16:02:00Z; 96447,14; 96499,56; 96447,14; 96499,56; 96499,56;0; 9,225125e-04
